sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
57,TCS-6823,Relationships of BQP with BPP and NP,"Determine the relationships between BQP and classical classes, particularly NP and BPP.",Quantum computation,quarantined,individual_review,"Jde o společný zastřešující záznam pro otázky BPP versus BQP a NP mimo BQP, které již mají vlastní položky TCS-0036 a TCS-0037.",,TCS-0036 | TCS-0037,"Determine the relationships between BQP and classical classes, particularly NP and BPP.",Computational Complexity: A Modern Approach,https://theory.cs.princeton.edu/complexity/
58,TCS-0325,Strongly hyperbolic uniform disk graph recognition,Recognition of Strongly Hyperbolic Uniform Disk Graphs,Computational geometry and metric spaces,quarantined,individual_review,Rozpoznávání kombinuje uniformní disky s dalším silným hyperbolickým omezením; obecné rozpoznávání geometrických průnikových grafů má větší dosah.,,,Recognition of Strongly Hyperbolic Uniform Disk Graphs,Precision in Geometric Algorithms,https://doi.org/10.4230/DagRep.15.9.21
59,TCS-0329,Sub-alpha-complexes in high dimension,Sub-Alpha-Complex in High Dimension,Computational geometry and metric spaces,quarantined,individual_review,"Záznam vymezuje specializovanou variantu geometrického komplexu, ale nehlavní bariéru rekonstrukce či persistence; bez takového spojení mu nedávám samostatné místo.",,,Sub-Alpha-Complex in High Dimension,Computational Geometry,https://doi.org/10.4230/DagRep.15.5.64
60,TCS-0332,Turning planar triangulations inside out,Turning Planar Triangulations Inside Out,Computational geometry and metric spaces,quarantined,individual_review,"Specifická transformační operace je užší než obecná dosažitelnost a vzdálenost v grafech triangulací, které zůstávají zastoupené.",,,Turning Planar Triangulations Inside Out,Computational Geometry,https://doi.org/10.4230/DagRep.15.5.64
61,TCS-0336,Largest precise subset,Largest Precise Subset (Making Points Precise),Computational geometry and metric spaces,quarantined,individual_review,Optimalizuje zvláštní model zpřesňování neurčitých bodů; obecná robustní geometrie má větší význam než tato konkrétní výběrová úloha.,,,Largest Precise Subset (Making Points Precise),Computational Geometry,https://doi.org/10.4230/DagRep.13.5.165
62,TCS-0341,Expected volume of a stochastic bounding box,Expected Volume of Stochastic Bounding Box,Computational geometry and metric spaces,quarantined,individual_review,Výpočet očekávaného objemu jednoho obalového objektu je specializovaná statistickogeometrická úloha; nepředstavuje hlavní bariéru pravděpodobnostní geometrie.,,,Expected Volume of Stochastic Bounding Box,Computational Geometry,https://doi.org/10.4230/DagRep.11.4.1
63,TCS-0345,Recognizing perfect plane grid embeddings of trees,Complexity of recognizing perfect plane grid embeddings of trees,Computational geometry and metric spaces,quarantined,individual_review,Dodatečná dokonalost a mřížka z této úlohy dělají úzkou variantu kreslení stromů; obecné geometrické realizace mají přednost.,,,Complexity of recognizing perfect plane grid embeddings of trees,Computational Geometry,https://doi.org/10.4230/DagRep.9.4.107
64,TCS-0347,Perfect plane grid embeddings of subcubic trees,Do subcubic trees always admit perfect plane grid embeddings?,Computational geometry and metric spaces,quarantined,individual_review,Ještě omezuje předchozí otázku na stromy stupně nejvýše tři; samostatná položka by přeceňovala jediný model vkládání.,,,Do subcubic trees always admit perfect plane grid embeddings?,Computational Geometry,https://doi.org/10.4230/DagRep.9.4.107
65,TCS-0352,Motion planning with symmetric disconnected direction cones,Motion planning with symmetric disconnected direction cones,Computational geometry and metric spaces,quarantined,individual_review,Zkoumá jednu neobvyklou sadu směrových omezení. Obecné plánování pohybu a koordinace robotů jsou pro výběr zásadnější.,,,Motion planning with symmetric disconnected direction cones,Computational Geometry,https://doi.org/10.4230/DagRep.9.4.107
66,TCS-0358,Two-edge-colorings minimizing geometric crossings,Two-edge-colorings minimizing monochromatic geometric crossings,Computational geometry and metric spaces,quarantined,individual_review,"Optimalizace jednobarevných křížení při právě dvou barvách je vedlejší varianta geometrického kreslení, bez doloženého širšího algoritmického důsledku.",,,Two-edge-colorings minimizing monochromatic geometric crossings,Computational Geometry,https://doi.org/10.4230/DagRep.9.4.107
67,TCS-0361,Minimum k-dimensional cut of a polytope,Minimum k dimensional cut of an n dimensional polytope,Computational geometry and metric spaces,quarantined,individual_review,"Samotný indexový název nevymezuje, co se minimalizuje ani jak je řez zadán; nedává samostatnou hodnotitelnou bariéru oproti standardním polyedrickým problémům.",,,Minimum k dimensional cut of an n dimensional polytope,Computational Geometry,https://doi.org/10.4230/DagRep.7.4.107
68,TCS-0364,Stability of topological graph signatures,Stability of Topological Signatures of Graphs,Computational geometry and metric spaces,quarantined,individual_review,"Není určena signatura, perturbace ani požadovaná stabilita. Důležité téma topologické stability tu vystupuje jako neurčený výzkumný směr.",,,Stability of Topological Signatures of Graphs,Computational Geometry,https://doi.org/10.4230/DagRep.7.4.107
69,TCS-0368,Self-approaching networks on planar point sets,Self-approaching Networks on Planar Point Sets,Computational geometry and metric spaces,quarantined,individual_review,Dodatečný požadavek samopřibližování vymezuje specifický síťový model; obecné geometrické spannery a navigace mají přednost.,,,Self-approaching Networks on Planar Point Sets,Drawing Graphs and Maps with Curves,https://doi.org/10.4230/DagRep.3.4.34
70,TCS-0372,Slicing axis-parallel rectangles,Slicing Axes-Parallel Rectangles,Computational geometry and metric spaces,quarantined,individual_review,Izolovaná úloha dělení osově rovnoběžných obdélníků nemá v záznamu doloženou vazbu na zásadní aproximační či složitostní bariéru.,,,Slicing Axes-Parallel Rectangles,The Open Problems Project,https://topp.openproblem.net/p74
71,TCS-0383,Reflexivity of point sets,Reflexivity of Point Sets,Computational geometry and metric spaces,quarantined,individual_review,"Jde o specifickou extremální charakteristiku polygonalizací; základní problémy triangulací, viditelnosti a spannerů mají větší dosah.",,,Reflexivity of Point Sets,The Open Problems Project,https://topp.openproblem.net/p66
72,TCS-0390,Lines tangent to four unit balls,Lines Tangent to Four Unit Balls,Computational geometry and metric spaces,quarantined,individual_review,Přesná geometrie tečen ke čtyřem shodným koulím je konečná speciální konfigurace; obtížnost sama jí nezajišťuje místo mezi hlavními TCS problémy.,,,Lines Tangent to Four Unit Balls,The Open Problems Project,https://topp.openproblem.net/p61
73,TCS-0393,Volume-maximizing convex shape,Volume Maximizing Convex Shape,Computational geometry and metric spaces,quarantined,individual_review,"Chybějí přípustné tvary i omezující podmínky, takže název sám nevymezuje jednu optimalizační otázku pro atlas.",,,Volume Maximizing Convex Shape,The Open Problems Project,https://topp.openproblem.net/p62
74,TCS-0426,Monotonicity of Euclidean metric magnitude,Monotonicity of Euclidean metric magnitude,Computational geometry and metric spaces,quarantined,individual_review,"Domněnka o konkrétním metrickém invariantu má slabší přímý výpočetní dosah než vložitelnost, distorze a algoritmy nad metrikami.",,,Monotonicity of Euclidean metric magnitude,Applied and Combinatorial Topology,https://doi.org/10.4230/DagRep.14.2.206
75,TCS-0438,Pattern matching on braids,Pattern-Matching on Braids,Computational geometry and metric spaces,quarantined,individual_review,Jde o specifickou kombinatorickou reprezentaci a operaci hledání vzoru; obecné algoritmické problémy grup a řetězců mají přednost.,,,Pattern-Matching on Braids,Computation and Reconfiguration in Low-Dimensional Topological Spaces,https://doi.org/10.4230/DagRep.12.2.17
76,TCS-0439,Polygon-contact representations in 3D,Representing Graphs by Polygon Contact in 3D,Computational geometry and metric spaces,quarantined,individual_review,Klasifikace jednoho kontaktního modelu je užší než obecné otázky geometrické realizovatelnosti grafů a jejich složitosti.,,,Representing Graphs by Polygon Contact in 3D,Computation and Reconfiguration in Low-Dimensional Topological Spaces,https://doi.org/10.4230/DagRep.12.2.17
77,TCS-1065,Connected convex RCC8 inference,Connected convex RCC8 inference in exists-R,Computational geometry and metric spaces,quarantined,individual_review,Kombinuje konkrétní prostorový kalkul s konvexitou a souvislostí. Pro top 1000 je to příliš úzká varianta existenční reálné složitosti.,,,Connected convex RCC8 inference in exists-R,The Existential Theory of the Reals as a Complexity Class: A Compendium,https://arxiv.org/abs/2407.18006
78,TCS-1070,Crossing-free directional-walk realizability,Crossing-free directional-walk realizability hardness,Computational geometry and metric spaces,quarantined,individual_review,Tvrdost specifické reprezentace směrových procházek má nižší prioritu než základní realizační problémy orientovaných matroidů a geometrických grafů.,,,Crossing-free directional-walk realizability hardness,The Existential Theory of the Reals as a Complexity Class: A Compendium,https://arxiv.org/abs/2407.18006
79,TCS-1071,Crossing thresholds for pseudosegment stretchability,Crossing thresholds for hard pseudosegment stretchability,Computational geometry and metric spaces,quarantined,individual_review,Hledá přesný práh dodatečného omezení křížení v již ústřední realizační úloze; jde o jemnou hranici speciálního případu.,,,Crossing thresholds for hard pseudosegment stretchability,The Existential Theory of the Reals as a Complexity Class: A Compendium,https://arxiv.org/abs/2407.18006
80,TCS-1073,Boundary-only guarding hardness,Exists-R hardness of boundary-only guarding,Computational geometry and metric spaces,quarantined,individual_review,Omezení stráží na hranici vytváří variantu art gallery. Obecné střežení a jeho aproximační složitost mají přednost před další polohovou restrikcí.,,,Exists-R hardness of boundary-only guarding,The Existential Theory of the Reals as a Complexity Class: A Compendium,https://arxiv.org/abs/2407.18006
