FOCS-2021-001 | approx | A Better-than-2 Approximation for Weighted Tree Augmentation
STOC-2026-025 | geom | NP-Membership for the Boundary-Boundary Art-Gallery Problem
STOC-2026-026 | graph | Shortcutting for Negative-Weight Shortest Paths
STOC-2026-027 | param | Path Cover, Hamiltonicity, and Independence Number: An FPT Perspective
STOC-2026-028 | game | Fisher Meets Lindahl: A Unified Duality Framework for Market Equilibrium
STOC-2026-029 | proof | An Analytical Approach to Parallel Repetition via CSP Inverse Theorems
STOC-2026-030 | q | Fourier Spectrum of Noisy Quantum Algorithms
STOC-2026-031 | q | MIPᶜᵒ=coRE
STOC-2026-032 | comp | The Skolem Problem in Rings of Positive Characteristic
STOC-2026-033 | fg | Fine-Grained Complexity of Continuous Euclidean k-Center
STOC-2026-034 | code | Generalized Samorodnitsky Noisy Function Inequalities, with Applications to Error-Correcting Codes
STOC-2026-035 | avg | A Sharp Characterization of Pessiland
STOC-2026-036 | code | Combinatorial Bounds for List Recovery via Discrete Brascamp-Lieb Inequalities
STOC-2026-037 | learn | Complexity-Theoretic Universal Inductive Inference
STOC-2026-038 | game | Tâtonnement Dynamics for Fisher Markets with Chores
STOC-2026-039 | q | Instance-Optimal Quantum State Certification with Entangled Measurements
STOC-2026-040 | opt | Hesse’s Redemption: Efficient Convex Polynomial Programming
STOC-2026-041 | comb | Sparsifying Suprema of Gaussian Processes
STOC-2026-042 | comb | Decoupling via Affine Spectral-Independence: Beck-Fiala and Komlós Bounds beyond Banaszczyk
STOC-2026-043 | prg | Derandomizing Matrix Concentration Inequalities from Free Probability
STOC-2026-044 | crypto | On the Cryptographic Foundations of Interactive Quantum Advantage
STOC-2026-045 | approx | A Constant-Factor Approximation for Directed Latency
STOC-2026-046 | learn | Learning CNF Formulas from Uniform Random Solutions in the Local Lemma Regime
STOC-2026-047 | opt | The Complexity of Min-Max Optimization with Product Constraints
STOC-2026-048 | learn | Better Neural Network Expressivity: Subdividing the Simplex
STOC-2026-049 | avg | On Zeros and Algorithms for Disordered Systems: Mean-Field Spin Glasses
STOC-2026-050 | opt | Entrywise Approximate Solutions for SDDM Systems in Almost-Linear Time
STOC-2026-051 | learn | Borsuk-Ulam and Replicable Learning of Large-Margin Halfspaces
STOC-2026-052 | q | Efficient Quantum Hermite Transform
STOC-2026-053 | avg | Optimal Random Self-Reductions for All Linear Problems
STOC-2026-054 | comp | Determination of the Fifth Busy Beaver Value
STOC-2026-055 | param | Dynamic Meta-Kernelization
STOC-2026-056 | test | Boolean Function Monotonicity Testing Requires (Almost) n1/2 Queries
STOC-2026-057 | q | Separating QMA from QCMA with a Classical Oracle
STOC-2026-058 | graph | Perfect Network Resilience in Polynomial Time
STOC-2026-059 | code | From Random to Explicit via Subspace Designs with Applications to Local Properties and Matroids
STOC-2026-060 | alg | Lower Bounds in Algebraic Complexity via Symmetry and Homomorphism Polynomials
STOC-2026-061 | comp | Kolmogorov’s Approach to P vs. NP: Chain Rules for Time-Bounded Kolmogorov Complexity
STOC-2026-062 | graph | Reviving Thorup’s Shortcut Conjecture
STOC-2026-063 | crypto | SNARGs for NP and Non-signaling PCPs, Revisited
STOC-2026-064 | crypto | A Meta-complexity Characterization of Minimal Quantum Cryptography
STOC-2026-065 | ds | Fast and Compact Random Mappings with Uniform Guarantees and Applications
STOC-2026-066 | geom | Lower Estimates for L₁-Distortion of Transportation Cost Spaces
STOC-2026-067 | game | Approximating Gains-from-Trade in Matching Markets
STOC-2026-068 | learn | Sample Complexity of Agnostic Multiclass Classification: Natarajan Dimension Strikes Back
STOC-2026-069 | q | Quantum Circuit Lower Bounds in the Magic Hierarchy
STOC-2026-070 | ds | Approximation Schemes for Edit Distance and LCS in Quasi-Strongly Subquadratic Time
STOC-2026-071 | opt | Trust Region Interior Point Methods: Optimal ℓ₂- and Faster Wide-Neighborhood Path Following
STOC-2026-072 | learn | High-Accuracy List-Decodable Mean Estimation
STOC-2026-073 | online | On the Informativeness of Moments in Optimal Stopping
STOC-2026-074 | proof | Finding Bugs in Short Proofs: The Metamathematics of Resolution Lower Bounds
STOC-2026-075 | test | Testing Noisy Low-Degree Polynomials for Sparsity
STOC-2026-076 | code | Probabilistic Guarantees to Explicit Constructions: Local Properties of Linear Codes
STOC-2026-077 | lattice | Average Hardness of SIVP for Module Lattices of Fixed Rank
STOC-2026-078 | online | Contention Resolution, with and without a Global Clock
STOC-2026-079 | q | Fast Mixing of Quantum Spin Chains at All Temperatures
STOC-2026-080 | q | Magic and Communication Complexity
STOC-2026-081 | q | Average-Case Complexity of Quantum Stabilizer Decoding
STOC-2026-082 | q | Clifford Testing: Algorithms and Lower Bounds
STOC-2026-083 | cx | Superquadratic Lower Bounds for Depth-2 Linear Threshold Circuits
STOC-2026-084 | lattice | Deterministic Hardness of Approximation of Unique-SVP and GapSVP in ℓp Norms for p>2
STOC-2026-085 | proof | Strong ETH Holds for Bounded-Depth Resolution over Parities
STOC-2026-086 | approx | Fully Dynamic Set Cover: Worst-Case Recourse and Update Time
STOC-2026-087 | fg | Universe Reduction for APSP: Equivalence of Three Fine-Grained Hypotheses
STOC-2026-088 | dist | Can Like Attract Like? A Study of Homonymous Gathering in Networks
STOC-2026-089 | approx | Steiner Forest: A Simplified Better-Than-2 Approximation
STOC-2026-090 | proof | Lower Bounds for Near-Quadratic-Depth Resolution over Parities
STOC-2026-091 | count | New Planar Algorithms and a Full Complexity Classification of the Eight-Vertex Model
STOC-2026-092 | stream | Semi-streaming Matching in a Single Pass: A New Framework for Lower Bounds via Blueprints
STOC-2026-093 | count | Zero-Free Regions and Concentration Inequalities for Hypergraph Colorings in the Local Lemma Regime
STOC-2026-094 | param | Oracle Subset Problems: A Meta-algorithm for FPT Approximation via Random Walks
STOC-2026-095 | ds | A Constant-Approximation Distance Labeling Scheme under Polynomially Many Edge Failures
STOC-2026-096 | geom | Approximation Schemes for Subset TSP and Steiner Tree on Geometric Intersection Graphs
STOC-2026-097 | dist | Breaking Barriers for Distributed MIS by Faster Degree Reduction
STOC-2026-098 | game | Fisher Markets with Approximately Optimal Bundles and the Need for a PCP Theorem for PPAD
STOC-2026-099 | ds | Space-Efficient Text Indexing with Mismatches using Function Inversion
STOC-2026-100 | learn | On the Computational Hardness of Transformers
STOC-2026-101 | q | Quantum Precomputation: Parallelizing Cascade Circuits and the Moore–Nilsson Conjecture Is False
STOC-2026-102 | proof | Ideals, Macaulay Bases, and PCPs
STOC-2026-103 | ds | Memory Reallocation with Polylogarithmic Overhead
STOC-2026-104 | ds | Greedy Open Addressing Revisited: Beyond Yao’s Lower Bound
STOC-2026-105 | cx | Monotone Circuit Complexity of Matching
STOC-2026-106 | alg | Constructive Approximation under Carleman’s Condition, with Applications to Smoothed Analysis
STOC-2026-107 | approx | Approximation Schemes and Structural Barriers for the Two-Dimensional Knapsack Problem with Rotations
STOC-2026-108 | code | On Proximity Gaps of Reed-Solomon Codes
STOC-2026-109 | count | Parallel Sampling via Autospeculation
STOC-2026-110 | graph | Efficient Reversal of Transductions of Sparse Graph Classes
STOC-2026-111 | learn | Markov Chains Approximate Message Passing
STOC-2026-112 | online | Online Combinatorial Optimization with Graphical Dependencies
STOC-2026-113 | approx | Additive One Approximation for Minimum Degree Spanning Tree: Breaking the O(mn) Time Barrier
STOC-2026-114 | dist | Improved Local Computation Algorithms for Greedy Set Cover via Retroactive Updates
STOC-2026-115 | count | Mixing of General Biased Adjacent Transposition Chains
STOC-2026-116 | online | Secretary, Prophet, and Stochastic Probing via Big-Decisions-First
STOC-2026-117 | graph | Faster All-Pairs Minimum Cut: Bypassing Exact Max-Flow
STOC-2026-118 | q | The Debiased Keyl’s Algorithm: A New Unbiased Estimator for Full State Tomography
STOC-2026-119 | avg | Hardness Amplification beyond Boolean Functions
STOC-2026-120 | ds | Compressing Dynamic Fully Indexable Dictionaries in Word-RAM
STOC-2026-121 | game | The Price of Competitive Information Disclosure
STOC-2026-122 | param | Beating Meet-in-the-Middle for Subset Balancing Problems
STOC-2026-123 | proof | A Theory for Probabilistic Polynomial-Time Reasoning
STOC-2026-124 | ds | The Natural Proofs Barrier against Data-Structure Lower-Bounds
STOC-2026-125 | prg | Extractors for Samplable Distributions from the Two-Source Extractor Recipe
STOC-2026-126 | learn | The Sample Complexity of Uniform Approximation for Multi-dimensional CDFs and Fixed-Price Mechanisms
STOC-2026-127 | graph | Lower Bounds on Flow Sparsifiers with Steiner Nodes
STOC-2026-128 | q | Approximation Does Not Help in Quantum Unitary Time-Reversal
STOC-2026-129 | temp | A Graph Minors Approach to Temporal Sequences
STOC-2026-130 | dist | What Can Be Computed Locally Revisited: First-Order Logic on Sparse Graphs in Distributed Computing
STOC-2026-131 | code | Relaxed vs. Full Local Decodability with Few Queries: Equivalence and Separations for Linear Codes
STOC-2026-132 | graph | An Improved Quality Hierarchical Congestion Approximator in Near-Linear Time
STOC-2026-133 | geom | Near-Optimal Directed Euclidean Spanners in High Dimensions
STOC-2026-134 | approx | Improved Approximation Algorithms for Multiway Cut by Large Mixtures of New and Old Rounding Schemes
STOC-2026-135 | alg | Classifying Identities: Subcubic Distributivity Checking and Hardness from Arithmetic Progression Detection
STOC-2026-136 | ds | Locally Computable High Independence Hashing
STOC-2026-137 | fg | Approximate Orthogonal Vectors and Diameter via Regularity Lemma
STOC-2026-138 | code | 3-Query RLDCs Are Strictly Stronger Than 3-Query LDCs
STOC-2026-139 | graph | Pattern-Sparse Tree Decompositions in H-Minor-Free Graphs
STOC-2026-140 | q | A Dobrushin Condition for Quantum Markov Chains: Rapid Mixing and Conditional Mutual Information at High Temperature
STOC-2026-141 | dist | Improved Bounds for Coin Flipping, Leader Election, and Random Selection
STOC-2026-142 | graph | Planar Length-Constrained Minimum Spanning Trees
STOC-2026-143 | approx | Approximating Directed Connectivity in Almost-Linear Time
STOC-2026-144 | online | An Optimal Algorithm for Stochastic Vertex Cover
STOC-2026-145 | code | Optimal Proximity Gaps for Subspace-Design Codes and (Random) Reed-Solomon Codes
STOC-2026-146 | proof | Polynomial Identity Testing and the Ideal Proof System: PIT Is in NP If and Only If IPS Can Be p-Simulated by a Cook-Reckhow Proof System
STOC-2026-147 | learn | Learning Functions of Halfspaces
STOC-2026-148 | comp | Failure of Symmetry of Information for Randomized Computations
STOC-2026-149 | dyn | A Faster Deterministic Algorithm for Fully Dynamic Maximal Matching
STOC-2026-150 | dp | Computation-Utility-Privacy Tradeoffs in Bayesian Estimation
STOC-2026-151 | crypto | Sub-linear Secure Broadcast and Applications
STOC-2026-152 | online | Proximal Regret and Proximal Correlated Equilibria: A New Tractable Solution Concept for Online Learning and Games
STOC-2026-153 | stream | Settling the Pass Complexity of Streaming Set Cover
STOC-2026-154 | crypto | Non-adaptive Cryptanalytic Time-Space Lower Bounds via a Shearer-Like Inequality for Permutations
STOC-2026-155 | alg | Learning Read-Once Determinants and the Principal Minor Assignment Problem
STOC-2026-156 | learn | Language Generation and Identification from Partial Enumeration: Tight Density Bounds and Topological Characterizations
STOC-2026-157 | csp | Approximation Algorithms for Satisfiable and Nearly Satisfiable Ordering CSPs
STOC-2026-158 | alg | Reconstruction of Depth-3 Arithmetic Circuits with Constant Top Fan-In
STOC-2026-159 | lattice | SVPp Is Deterministically NP-Hard for All p > 2, Even to Approximate within a Factor of 2log1-εn
STOC-2026-160 | game | Solving Matrix Games with Near-Optimal Matvec Complexity
STOC-2026-161 | opt | Shifted Composition IV: Toward Ballistic Acceleration for Log-Concave Sampling
STOC-2026-162 | graph | Nonuniform Graph Partitioning with Just a Little Flex
STOC-2026-163 | avg | Rigorous Implications of the Low-Degree Heuristic
STOC-2026-164 | q | The Power of Two Bases: Robust and Copy-Optimal Certification of Nearly All Quantum States with Few-Qubit Measurements
STOC-2026-165 | bio | Optimal Phylogenetic Reconstruction from Sampled Quartets
STOC-2026-166 | code | High Rate Efficient Local List Decoding from HDX
STOC-2026-167 | game | First-Order (Coarse) Correlated Equilibria in Non-concave Games
STOC-2026-168 | crypto | SNARKs from LWE via Non-black-Box Reductions
STOC-2026-169 | learn | A Fully Polynomial-Time Algorithm for Robustly Learning Halfspaces over the Hypercube
STOC-2026-170 | crypto | Shuffling Is Universal: Statistical Additive Randomized Encodings for All Functions
STOC-2026-171 | test | Testing Distributions against Bounded Distinguishers
STOC-2026-172 | approx | Randomized Rounding over Dynamic Programs
STOC-2026-173 | approx | Toward Optimal Approximations for Resource-Minimization for Fire Containment on Trees and Non-uniform k-Center
STOC-2026-174 | approx | A (4+ϵ)-Approximation for Euclidean k-Means via Non-monotone Dual-Fitting
STOC-2026-175 | cx | Restriction Trees for Sparsity and Applications
STOC-2026-176 | q | On the Need for (Quantum) Memory with Short Outputs
STOC-2026-177 | cx | Monte Carlo to Las Vegas for Recursively Composed Functions
STOC-2026-178 | cx | Range Avoidance, Arthur-Merlin, and TFNP
STOC-2026-179 | dist | Sublogarithmic Distributed Vertex Coloring with Optimal Number of Colors
STOC-2026-180 | q | Learning Stabilizer Structure of Quantum States
STOC-2026-181 | graph | A Unified Framework for Analysis of Randomized Greedy Matching Algorithms
STOC-2026-182 | graph | From Hop Reduction to Sparsification for Negative Length Shortest Paths
STOC-2026-183 | learn | Learning Mixture Models via Efficient High-Dimensional Sparse Fourier Transforms
STOC-2026-184 | opt | Combinatorial Optimization using Comparison Oracles
STOC-2026-185 | avg | Computational and Statistical Lower Bounds for Low-Rank Estimation under General Inhomogeneous Noise
STOC-2026-186 | crypto | Secret-Key PIR from Random Linear Codes
STOC-2026-187 | comm | Pseudodeterministic Communication Complexity
STOC-2026-188 | code | Deterministic List Decoding of Reed-Solomon Codes
STOC-2026-189 | game | Nash Social Welfare with Submodular Valuations: Approximation Algorithms and Integrality Gaps
STOC-2026-190 | learn | The Sample Complexity of Replicable Realizable PAC Learning
STOC-2026-191 | cx | Negations Are Powerful Even in Small Depth
STOC-2026-192 | sched | Improved Approximation Algorithms for Non-preemptive Throughput Maximization
STOC-2026-193 | fg | Tight (S)ETH-Based Lower Bounds for Pseudopolynomial Algorithms for Bin Packing and Multi-machine Scheduling
STOC-2026-194 | learn | Provable Long-Range Benefits of Next-Token Prediction
STOC-2026-195 | stream | Half-Approximating Maximum Dicut in the Streaming Setting
STOC-2026-196 | crypto | Improved Pseudorandom Codes from Permuted Puzzles
STOC-2026-197 | geom | Cutting Planarians: Planar Emulators for String Graphs
STOC-2026-198 | opt | A Poisson Process for Submodular Maximization
STOC-2026-199 | learn | Efficient Calibration for Decision Making
STOC-2026-200 | approx | A Strong Linear Programming Relaxation for Weighted Tree Augmentation
STOC-2026-201 | comb | Optimal and Efficient Partite Decompositions of Hypergraphs
STOC-2026-202 | q | Improved Lower Bounds for QAC0
STOC-2026-203 | code | Nearly Tight Lower Bounds for Relaxed Locally Decodable Codes via Robust Daisies
STOC-2026-204 | dp | Private Learning of Littlestone Classes, Revisited
STOC-2026-205 | approx | A Polylogarithmic Approximation for Buy-at-Bulk Network Design with Protection
STOC-2026-206 | learn | Sparse Linear Regression Is Easy on Random Supports
STOC-2026-207 | fg | Fine-Grained Bounds for Courcelle’s Theorem
STOC-2026-208 | graph | DAG Projections: Reducing Distance and Flow Problems to DAGs
STOC-2026-209 | stream | Adversarial Robustness on Insertion-Deletion Streams
STOC-2026-210 | online | Combinatorial Markov Search
STOC-2026-211 | dp | Online Matrix Factorization, Online Private Query Release, and Online Discrepancy Minimization
